crossing,reported_at,value_min,value_raw,reporter,scraped_at_utc
bajakovo-batrovci,2026-06-16T22:38,30,30 min,hak_croatia,2026-06-16T20:59:42+00:00
bajakovo-batrovci,2026-06-16T22:08,30,30 min,hak_croatia,2026-06-16T20:59:42+00:00
bajakovo-batrovci,2026-06-16T21:49,30,30 min,hak_croatia,2026-06-16T20:59:42+00:00
bajakovo-batrovci,2026-06-16T21:28,60,60 min,hak_croatia,2026-06-16T20:59:42+00:00
bajakovo-batrovci,2026-06-16T20:38,60,60 min,hak_croatia,2026-06-16T20:59:42+00:00
bajakovo-batrovci,2026-06-16T20:08,60,60 min,hak_croatia,2026-06-16T20:59:42+00:00
bajakovo-batrovci,2026-06-16T19:49,60,60 min,hak_croatia,2026-06-16T20:59:42+00:00
bajakovo-batrovci,2026-06-16T19:28,30,30 min,hak_croatia,2026-06-16T20:59:42+00:00
bajakovo-batrovci,2026-06-16T23:28,30,30 min,hak_croatia,2026-06-16T21:45:34+00:00
bajakovo-batrovci,2026-06-16T23:49,30,30 min,hak_croatia,2026-06-16T21:49:34+00:00
bajakovo-batrovci,2026-06-17T00:08,30,30 min,hak_croatia,2026-06-16T22:08:00+00:00
bajakovo-batrovci,2026-06-17T00:38,30,30 min,hak_croatia,2026-06-16T23:00:30+00:00
bajakovo-batrovci,2026-06-17T02:49,30,30 min,hak_croatia,2026-06-17T01:40:44+00:00
bajakovo-batrovci,2026-06-17T02:38,30,30 min,hak_croatia,2026-06-17T01:40:44+00:00
bajakovo-batrovci,2026-06-17T02:28,30,30 min,hak_croatia,2026-06-17T01:40:44+00:00
bajakovo-batrovci,2026-06-17T02:08,30,30 min,hak_croatia,2026-06-17T01:40:44+00:00
bajakovo-batrovci,2026-06-17T01:49,30,30 min,hak_croatia,2026-06-17T01:40:44+00:00
bajakovo-batrovci,2026-06-17T01:28,30,30 min,hak_croatia,2026-06-17T01:40:44+00:00
bajakovo-batrovci,2026-06-17T06:38,10,10 min,hak_croatia,2026-06-17T05:27:43+00:00
bajakovo-batrovci,2026-06-17T05:49,30,30 min,hak_croatia,2026-06-17T05:27:43+00:00
bajakovo-batrovci,2026-06-17T05:28,30,30 min,hak_croatia,2026-06-17T05:27:43+00:00
bajakovo-batrovci,2026-06-17T04:38,30,30 min,hak_croatia,2026-06-17T05:27:43+00:00
bajakovo-batrovci,2026-06-17T04:08,30,30 min,hak_croatia,2026-06-17T05:27:43+00:00
bajakovo-batrovci,2026-06-17T03:56,25,25 min,anonymous_,2026-06-17T05:27:43+00:00
bajakovo-batrovci,2026-06-17T08:08,10,10 min,hak_croatia,2026-06-17T06:13:33+00:00
bajakovo-batrovci,2026-06-17T07:49,10,10 min,hak_croatia,2026-06-17T06:13:33+00:00
bajakovo-batrovci,2026-06-17T07:28,10,10 min,hak_croatia,2026-06-17T06:13:33+00:00
bajakovo-batrovci,2026-06-17T08:38,10,10 min,hak_croatia,2026-06-17T06:43:46+00:00
bajakovo-batrovci,2026-06-17T09:28,10,10 min,hak_croatia,2026-06-17T07:29:05+00:00
bajakovo-batrovci,2026-06-17T09:49,10,10 min,hak_croatia,2026-06-17T07:59:17+00:00
bajakovo-batrovci,2026-06-17T10:08,10,10 min,hak_croatia,2026-06-17T08:14:24+00:00
bajakovo-batrovci,2026-06-17T10:38,10,10 min,hak_croatia,2026-06-17T08:44:37+00:00
bajakovo-batrovci,2026-06-17T11:28,10,10 min,hak_croatia,2026-06-17T09:29:57+00:00
bajakovo-batrovci,2026-06-17T11:49,10,10 min,hak_croatia,2026-06-17T10:00:11+00:00
bajakovo-batrovci,2026-06-17T12:08,30,30 min,hak_croatia,2026-06-17T10:15:23+00:00
bajakovo-batrovci,2026-06-17T12:38,30,30 min,hak_croatia,2026-06-17T10:48:17+00:00
bajakovo-batrovci,2026-06-17T13:28,30,30 min,hak_croatia,2026-06-17T11:33:35+00:00
bajakovo-batrovci,2026-06-17T13:49,30,30 min,hak_croatia,2026-06-17T12:03:46+00:00
bajakovo-batrovci,2026-06-17T14:08,30,30 min,hak_croatia,2026-06-17T12:18:53+00:00
bajakovo-batrovci,2026-06-17T14:24,60,60 min,anonymous,2026-06-17T12:33:59+00:00
bajakovo-batrovci,2026-06-17T15:05,90,1.5 h,anonymous,2026-06-17T13:19:17+00:00
bajakovo-batrovci,2026-06-17T16:08,90,1.5 h,anonymous,2026-06-17T14:12:32+00:00
bajakovo-batrovci,2026-06-17T17:23,60,60 min,anonymous_,2026-06-17T15:43:33+00:00
bajakovo-batrovci,2026-06-17T17:49,30,30 min,hak_croatia,2026-06-17T15:58:40+00:00
bajakovo-batrovci,2026-06-17T18:08,30,30 min,hak_croatia,2026-06-17T16:13:47+00:00
bajakovo-batrovci,2026-06-17T18:38,30,30 min,hak_croatia,2026-06-17T16:43:59+00:00
bajakovo-batrovci,2026-06-17T19:28,30,30 min,hak_croatia,2026-06-17T17:42:36+00:00
bajakovo-batrovci,2026-06-17T19:49,30,30 min,hak_croatia,2026-06-17T17:57:43+00:00
bajakovo-batrovci,2026-06-17T20:08,30,30 min,hak_croatia,2026-06-17T18:12:50+00:00
bajakovo-batrovci,2026-06-17T20:38,30,30 min,hak_croatia,2026-06-17T18:43:02+00:00
bajakovo-batrovci,2026-06-17T21:28,30,30 min,hak_croatia,2026-06-17T19:28:20+00:00
bajakovo-batrovci,2026-06-17T21:49,30,30 min,hak_croatia,2026-06-17T19:55:15+00:00
bajakovo-batrovci,2026-06-17T22:54,25,25 min,anonymous_,2026-06-17T21:10:43+00:00
bajakovo-batrovci,2026-06-17T23:49,30,30 min,hak_croatia,2026-06-17T22:03:21+00:00
bajakovo-batrovci,2026-06-18T00:08,30,30 min,hak_croatia,2026-06-17T22:18:27+00:00
bajakovo-batrovci,2026-06-18T00:38,30,30 min,hak_croatia,2026-06-17T22:48:41+00:00
bajakovo-batrovci,2026-06-18T01:28,30,30 min,hak_croatia,2026-06-17T23:42:25+00:00
bajakovo-batrovci,2026-06-18T01:49,30,30 min,hak_croatia,2026-06-17T23:57:31+00:00
bajakovo-batrovci,2026-06-18T02:08,30,30 min,hak_croatia,2026-06-18T00:17:04+00:00
bajakovo-batrovci,2026-06-18T02:28,30,30 min,hak_croatia,2026-06-18T00:32:10+00:00
bajakovo-batrovci,2026-06-18T02:38,30,30 min,hak_croatia,2026-06-18T00:47:16+00:00
bajakovo-batrovci,2026-06-18T02:49,30,30 min,hak_croatia,2026-06-18T01:02:22+00:00
bajakovo-batrovci,2026-06-18T03:58,25,25 min,anonymous_,2026-06-18T02:00:58+00:00
bajakovo-batrovci,2026-06-18T04:08,10,10 min,hak_croatia,2026-06-18T02:16:04+00:00
bajakovo-batrovci,2026-06-18T04:38,10,10 min,hak_croatia,2026-06-18T02:46:16+00:00
bajakovo-batrovci,2026-06-18T05:28,10,10 min,hak_croatia,2026-06-18T03:31:33+00:00
bajakovo-batrovci,2026-06-18T05:49,10,10 min,hak_croatia,2026-06-18T04:01:44+00:00
bajakovo-batrovci,2026-06-18T06:08,10,10 min,hak_croatia,2026-06-18T04:16:50+00:00
bajakovo-batrovci,2026-06-18T06:38,10,10 min,hak_croatia,2026-06-18T04:47:02+00:00
bajakovo-batrovci,2026-06-18T07:28,10,10 min,hak_croatia,2026-06-18T05:32:19+00:00
bajakovo-batrovci,2026-06-18T07:49,10,10 min,hak_croatia,2026-06-18T06:02:31+00:00
bajakovo-batrovci,2026-06-18T08:08,10,10 min,hak_croatia,2026-06-18T06:17:36+00:00
bajakovo-batrovci,2026-06-18T08:38,10,10 min,hak_croatia,2026-06-18T06:40:01+00:00
bajakovo-batrovci,2026-06-18T09:28,10,10 min,hak_croatia,2026-06-18T07:40:21+00:00
bajakovo-batrovci,2026-06-18T09:49,10,10 min,hak_croatia,2026-06-18T07:55:27+00:00
bajakovo-batrovci,2026-06-18T10:08,10,10 min,hak_croatia,2026-06-18T08:10:33+00:00
bajakovo-batrovci,2026-06-18T10:38,120,2 h,anonymous,2026-06-18T08:40:43+00:00
bajakovo-batrovci,2026-06-18T10:38,10,10 min,hak_croatia,2026-06-18T08:40:43+00:00
bajakovo-batrovci,2026-06-18T12:08,10,10 min,hak_croatia,2026-06-18T10:11:14+00:00
bajakovo-batrovci,2026-06-18T11:55,90,1.5 h,anonymous_,2026-06-18T10:11:14+00:00
bajakovo-batrovci,2026-06-18T13:01,90,1.5 h,anonymous,2026-06-18T11:03:05+00:00
bajakovo-batrovci,2026-06-18T14:13,150,2.5 h,anonymous,2026-06-18T12:18:36+00:00
bajakovo-batrovci,2026-06-18T14:21,240,4 h,anonymous,2026-06-18T12:33:43+00:00
bajakovo-batrovci,2026-06-18T15:26,210,3.5 h,anonymous_,2026-06-18T13:34:09+00:00
bajakovo-batrovci,2026-06-18T15:45,300,5 h,anonymous,2026-06-18T13:49:16+00:00
bajakovo-batrovci,2026-06-18T16:54,270,4.5 h,anonymous_,2026-06-18T15:04:50+00:00
bajakovo-batrovci,2026-06-18T17:55,240,4 h,anonymous_,2026-06-18T16:05:12+00:00
bajakovo-batrovci,2026-06-18T18:57,210,3.5 h,anonymous_,2026-06-18T17:05:32+00:00
bajakovo-batrovci,2026-06-18T19:49,60,60 min,hak_croatia,2026-06-18T17:53:10+00:00
bajakovo-batrovci,2026-06-18T20:08,60,60 min,hak_croatia,2026-06-18T18:08:17+00:00
bajakovo-batrovci,2026-06-18T20:38,60,60 min,hak_croatia,2026-06-18T18:38:39+00:00
bajakovo-batrovci,2026-06-18T21:28,60,60 min,hak_croatia,2026-06-18T19:39:04+00:00
bajakovo-batrovci,2026-06-18T21:49,60,60 min,hak_croatia,2026-06-18T19:54:11+00:00
bajakovo-batrovci,2026-06-18T22:08,60,60 min,hak_croatia,2026-06-18T20:16:47+00:00
bajakovo-batrovci,2026-06-18T22:38,60,60 min,hak_croatia,2026-06-18T20:47:01+00:00
bajakovo-batrovci,2026-06-18T23:58,55,55 min,anonymous_,2026-06-18T22:02:29+00:00
bajakovo-batrovci,2026-06-19T00:54,50,50 min,anonymous_,2026-06-18T23:09:03+00:00
bajakovo-batrovci,2026-06-19T01:28,10,10 min,hak_croatia,2026-06-18T23:39:16+00:00
bajakovo-batrovci,2026-06-19T01:49,10,10 min,hak_croatia,2026-06-18T23:54:22+00:00
bajakovo-batrovci,2026-06-19T02:08,10,10 min,hak_croatia,2026-06-19T00:09:29+00:00
bajakovo-batrovci,2026-06-19T02:28,10,10 min,hak_croatia,2026-06-19T00:28:41+00:00
